Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;10;1;167;167;0.00;600
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;10;1;158;134;17.91;576
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;10;1;213;213;0.00;588
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;10;1;132;132;0.00;597
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;10;1;182;182;0.00;559
