Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;195;179;8.94;345
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;261;247;5.67;326
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;329;329;0.00;333
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;178;178;0.00;408
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;172;172;0.00;331
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;202;202;0.00;449
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;166;155;7.10;325
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;282;277;1.81;332
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;185;185;0.00;323
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;240;224;7.14;403
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;213;213;0.00;334
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;138;138;0.00;329
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;126;126;0.00;335
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;119;119;0.00;671
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;293;293;0.00;323
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;167;167;0.00;407
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;150;144;4.17;328
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;98;76;28.95;267
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;198;198;0.00;268
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;131;131;0.00;425
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;172;172;0.00;264
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;175;175;0.00;286
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;189;189;0.00;267
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;232;232;0.00;273
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;239;239;0.00;278
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;191;191;0.00;271
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;225;225;0.00;340
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;223;223;0.00;270
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;271;271;0.00;330
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;295;295;0.00;385
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;183;183;0.00;338
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;155;134;15.67;265
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;117;117;0.00;301
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;198;189;4.76;279
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;249;249;0.00;264
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;166;166;0.00;274
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;166;166;0.00;269
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;195;195;0.00;427
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;198;184;7.61;326
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;200;200;0.00;435
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;142;142;0.00;449
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;246;246;0.00;326
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;191;191;0.00;461
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;321;292;9.93;327
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;121;121;0.00;435
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;163;158;3.16;330
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;217;217;0.00;430
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;199;190;4.74;313
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;148;148;0.00;432
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;245;245;0.00;334
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;163;163;0.00;448
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;197;191;3.14;314
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;184;181;1.66;616
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;243;243;0.00;317
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;213;213;0.00;443
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;256;256;0.00;444
TABU_SEARCH;10;1;RNN;TWO_OPT;1000;5;1;125;125;0.00;326
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;156;156;0.00;568
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;219;219;0.00;548
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;141;135;4.44;550
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;182;182;0.00;557
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;223;218;2.29;546
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;179;179;0.00;543
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;219;199;10.05;554
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;229;229;0.00;544
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;216;211;2.37;585
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;187;187;0.00;600
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;192;192;0.00;536
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;195;183;6.56;665
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;204;193;5.70;550
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;187;187;0.00;559
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;195;195;0.00;549
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;256;256;0.00;668
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;151;136;11.03;597
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;219;211;3.79;927
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;217;217;0.00;556
TABU_SEARCH;11;1;RNN;TWO_OPT;1000;5;1;197;197;0.00;564
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;132;120;10.00;512
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;317;297;6.73;510
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;227;219;3.65;621
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;146;146;0.00;550
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;213;213;0.00;577
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;243;231;5.19;533
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;289;269;7.43;515
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;152;130;16.92;556
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;220;218;0.92;504
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;169;142;19.01;532
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;277;246;12.60;513
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;220;220;0.00;513
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;149;147;1.36;515
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;252;237;6.33;510
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;141;141;0.00;509
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;201;201;0.00;514
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;134;134;0.00;514
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;171;138;23.91;577
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;331;326;1.53;515
TABU_SEARCH;12;1;RNN;TWO_OPT;1000;6;1;248;235;5.53;555
